provincia,año,total,asalariados_0,asalariados_1_2,asalariados_3_5,asalariados_6_9,asalariados_10_19,asalariados_20_49,asalariados_50_99,asalariados_100_199,asalariados_200_499,asalariados_500_999,asalariados_1000_4999,asalariados_5000
Huelva,2010,26277,13423,7628,2860,1179,690,341,97,33,22,3,1,0
Huelva,2009,26783,13389,7803,2921,1289,801,408,110,40,19,2,1,0
Huelva,2008,27463,13399,7940,3109,1371,935,519,107,51,28,4,0,0
Huelva,2007,27063,13487,7720,2971,1340,905,458,94,55,30,3,0,0
Huelva,2006,25487,12795,7167,2805,1294,808,447,94,47,27,3,0,0
Huelva,2005,24777,12769,6855,2633,1178,760,416,96,36,31,3,0,0
Huelva,2004,24270,12811,6582,2492,1131,734,368,92,36,21,3,0,0
Huelva,2003,22547,11943,6108,2300,984,704,351,103,31,21,2,0,0
Huelva,2002,21709,11760,5656,2223,939,649,344,85,35,16,2,0,0
Huelva,2001,21068,11695,5311,2036,943,611,343,80,25,22,2,0,0
Huelva,2000,20872,12009,5091,1927,811,582,341,63,32,14,2,0,0
Huelva,1999,20265,11901,4842,1815,758,543,307,60,23,13,3,0,0
Huesca,2012,16151,8228,4785,1689,681,475,213,60,14,5,1,0,0
Huesca,2011,16380,8261,4661,1893,754,489,241,60,14,6,1,0,0
Huesca,2010,16550,8185,4825,1908,781,509,256,64,12,9,1,0,0
Huesca,2009,16837,8452,4709,1913,855,544,271,68,15,9,1,0,0
Huesca,2008,17109,8266,5055,1898,901,577,313,66,21,11,1,0,0
Huesca,2007,16694,8086,4956,1846,852,569,294,52,21,15,3,0,0
Huesca,2006,16025,7705,4761,1813,817,572,273,50,26,5,1,2,0
Huesca,2005,15390,7421,4674,1689,747,530,253,41,24,8,2,1,0
Huesca,2004,15078,7353,4546,1634,724,504,238,45,22,8,3,1,0
Huesca,2003,14283,7050,4251,1553,686,467,210,34,21,7,3,1,0
Huesca,2002,13889,6945,4076,1476,685,443,199,41,15,7,2,0,0
Huesca,2001,13575,6884,3990,1394,635,425,181,44,14,7,1,0,0
Huesca,2000,13665,7202,3813,1381,592,432,186,40,11,7,1,0,0
Huesca,1999,13374,7084,3787,1310,582,377,187,26,13,7,1,0,0
Jaén,2012,34000,17559,10210,3495,1388,843,380,72,33,12,4,4,0
Jaén,2011,34945,18129,10112,3772,1481,892,428,82,26,16,3,4,0
Jaén,2010,35758,18388,10587,3777,1487,924,444,96,35,14,2,4,0
Jaén,2009,36557,18514,10709,4052,1581,1058,483,98,46,9,2,5,0
Jaén,2008,37368,18450,11025,4127,1769,1183,603,123,59,21,3,5,0
Jaén,2007,36962,18571,10636,4057,1769,1141,587,122,48,23,4,4,0
Jaén,2006,35383,17820,10143,3849,1705,1124,559,117,44,14,5,3,0
Jaén,2005,34675,17776,9858,3634,1644,1045,542,110,40,19,4,3,0
Jaén,2004,33157,17280,9211,3411,1570,1003,530,90,40,16,4,2,0
Jaén,2003,32444,17193,8850,3195,1521,1038,514,89,24,14,4,2,0
Jaén,2002,31576,16995,8455,3087,1477,975,464,78,25,16,2,2,0
Jaén,2001,31024,16945,8175,2929,1406,962,479,80,27,18,2,1,0
Jaén,2000,30829,17344,7931,2707,1286,965,481,72,28,11,3,1,0
Jaén,1999,30077,17143,7614,2635,1228,919,431,74,22,9,2,0,0
León,2012,32386,17638,9428,2904,1247,671,347,94,37,14,3,3,0
León,2011,32669,17532,9237,3312,1324,718,394,87,42,15,4,3,1
León,2010,33126,17408,9664,3340,1385,775,409,84,35,18,4,4,0
León,2009,33564,17372,9809,3433,1404,902,474,104,42,17,3,4,0
León,2008,34012,17253,10099,3498,1494,986,508,101,47,17,5,4,0
León,2007,33563,17170,9949,3442,1409,938,497,91,44,15,5,3,0
León,2006,32359,16620,9556,3316,1348,896,476,94,34,11,5,3,0
León,2005,31664,16395,9282,3255,1326,813,449,88,37,13,2,4,0
León,2004,30992,15996,9218,3157,1259,806,427,81,31,12,2,3,0
León,2003,30256,15987,8741,2939,1272,775,407,84,32,13,3,3,0
León,2002,29611,15852,8396,2834,1221,763,403,97,29,10,3,3,0
León,2001,29381,16237,7994,2723,1185,726,382,96,24,9,2,3,0
León,2000,29297,16604,7784,2584,1051,733,411,89,28,8,2,3,0
León,1999,28736,16498,7577,2484,986,692,386,78,24,7,1,3,0
Lleida,2012,34821,18698,9797,3337,1465,860,468,117,51,19,6,3,0
Lleida,2011,35730,19249,9500,3742,1605,929,502,125,50,22,4,2,0
Lleida,2010,36598,19327,10082,3761,1702,996,530,124,49,21,4,2,0
Lleida,2009,36920,19002,10345,3924,1721,1127,588,133,49,26,3,2,0
Lleida,2008,37638,18549,11015,4106,1852,1234,655,136,57,28,5,1,0
Lleida,2007,36065,17484,10680,4037,1798,1230,628,134,45,25,3,1,0
Lleida,2006,33956,16211,10192,3815,1798,1146,600,123,41,26,3,1,0
Lleida,2005,32739,15951,9664,3640,1639,1086,576,114,40,25,3,1,0
Lleida,2004,31515,15358,9336,3520,1563,1023,547,108,37,19,3,1,0
Lleida,2003,29605,14334,8829,3261,1519,963,508,114,49,24,3,1,0
Lleida,2002,28766,14180,8395,3105,1464,923,512,114,51,18,2,2,0
Lleida,2001,28141,14172,8062,2956,1391,900,471,123,43,19,2,2,0
Lleida,2000,28348,14874,7927,2750,1244,903,490,105,37,15,1,2,0
Lleida,1999,27502,14487,7681,2710,1147,860,468,103,33,9,2,2,0
Lugo,2012,24288,12517,7442,2501,1013,480,242,63,20,5,3,2,0
Lugo,2011,24499,12466,7405,2689,1054,532,261,64,15,9,2,2,0
Lugo,2010,24714,12389,7600,2721,1062,548,296,63,21,8,4,2,0
Lugo,2009,24861,12315,7595,2805,1096,622,322,70,24,6,4,2,0
Lugo,2008,25035,12166,7828,2841,1100,667,325,67,30,5,5,1,0
Lugo,2007,24609,11928,7856,2721,1079,615,306,59,30,8,6,1,0
Lugo,2006,23780,11491,7631,2681,1013,572,309,49,22,7,4,1,0
Lugo,2005,23122,11234,7541,2455,965,552,297,44,23,7,3,1,0
Lugo,2004,22479,10914,7384,2357,962,522,261,42,24,7,5,1,0
Lugo,2003,22396,11159,7178,2290,923,528,251,37,20,8,1,1,0
Lugo,2002,21942,11094,6842,2285,890,514,252,39,19,6,1,0,0
Lugo,2001,21865,11293,6712,2219,861,498,222,38,18,3,1,0,0
Lugo,2000,21825,11733,6385,2148,796,489,218,34,18,3,0,1,0
Lugo,1999,21267,11666,6146,2008,725,463,209,30,15,4,1,0,0
Madrid,2012,499098,296990,118140,38727,19646,12749,7228,2537,1497,910,332,278,64
Madrid,2011,501669,298278,114809,41605,20328,13429,7523,2608,1510,909,335,270,65
Madrid,2010,503501,292227,121535,41946,20619,13598,7757,2638,1580,935,344,264,58
Madrid,2009,511804,290471,126418,43618,21297,15237,8561,2819,1682,1006,358,270,67
Madrid,2008,519307,288185,132585,45036,21824,15897,9145,2919,1780,1176,397,296,67
Madrid,2007,503000,274674,130323,45029,21758,15749,9056,2861,1737,1105,378,269,61
Madrid,2006,478202,259839,122420,44025,21573,15554,8780,2709,1598,1040,339,268,57
Madrid,2005,456175,251374,115503,40772,20048,14395,8359,2615,1498,994,324,239,54
Madrid,2004,436074,238067,110061,40003,20124,14388,7983,2469,1472,920,310,226,51
Madrid,2003,407655,224562,98910,37921,19197,13710,7941,2492,1420,929,301,224,48
Madrid,2002,384638,212149,92028,35813,18495,13035,7803,2552,1395,829,309,190,40
Madrid,2001,377785,211594,88796,34447,17855,12560,7499,2407,1321,810,279,174,43
Madrid,2000,365083,208296,84359,32743,15068,12113,7827,2299,1178,732,253,175,40
Madrid,1999,357833,205023,83767,31841,14162,11561,7168,2116,1063,688,237,168,39
Málaga,2012,107385,58645,30741,9927,4396,2155,1058,247,144,56,9,6,1
Málaga,2011,109614,60257,30260,10505,4576,2378,1132,273,163,55,10,4,1
Málaga,2010,110291,58956,31525,10855,4660,2539,1188,334,161,59,9,4,1
Málaga,2009,113362,59668,32224,11331,5136,2921,1454,382,177,55,8,5,1
Málaga,2008,116683,59299,33737,12029,5664,3402,1785,446,182,115,16,7,1
Málaga,2007,114547,58109,32960,11911,5640,3375,1756,467,207,102,13,6,1
Málaga,2006,108713,54675,31117,11565,5609,3240,1763,419,216,85,15,8,1
Málaga,2005,102382,51529,29454,10764,5143,3107,1655,415,218,79,10,8,0
Málaga,2004,96587,48101,27829,10475,4960,3018,1548,374,184,80,11,6,1
Málaga,2003,88257,44685,25056,9160,4568,2684,1507,337,160,84,8,8,0
Málaga,2002,82629,42572,23056,8400,4099,2571,1369,323,149,75,9,6,0
Málaga,2001,78544,41269,21572,7801,3706,2427,1254,298,142,58,10,7,0
Málaga,2000,76081,41079,20810,7151,3015,2291,1267,270,129,52,11,5,1
Málaga,1999,71766,39300,19741,6616,2636,2012,1058,229,112,49,9,4,0
Melilla,2012,3770,2036,1011,384,203,84,38,11,1,0,2,0,0
Melilla,2011,3697,2044,941,374,189,95,43,9,1,0,1,0,0
Melilla,2010,3655,2007,952,381,166,97,37,11,3,0,1,0,0
Melilla,2009,3699,1926,1095,357,164,101,43,10,1,1,1,0,0
Melilla,2008,3709,1902,1107,369,176,90,46,14,3,1,1,0,0
Melilla,2007,3693,1887,1101,368,175,95,50,12,3,1,1,0,0
Melilla,2006,3657,1899,1065,383,155,92,45,12,4,1,1,0,0
Melilla,2005,3713,2012,1029,366,155,88,48,11,2,1,1,0,0
Melilla,2004,3671,1982,1048,356,142,79,53,6,3,1,1,0,0
Melilla,2003,3460,1919,919,348,139,79,36,16,2,2,0,0,0
Melilla,2002,3409,1879,926,330,151,73,33,13,2,2,0,0,0
Melilla,2001,3450,1914,925,332,163,72,32,8,3,1,0,0,0
Melilla,2000,3412,1928,901,313,139,87,30,10,3,1,0,0,0
Melilla,1999,3334,1907,870,305,134,75,31,8,3,1,0,0,0
Murcia,2012,88606,46357,25145,8955,3998,2255,1259,356,172,80,21,8,0
Murcia,2011,90856,47130,24905,10023,4256,2513,1372,374,171,81,21,10,0
Murcia,2010,92196,46273,26357,10196,4416,2770,1490,377,203,84,21,9,0
Murcia,2009,95636,46473,27309,11025,4881,3353,1809,453,202,94,26,11,0
Murcia,2008,100075,46801,28950,11914,5463,3914,2136,499,216,139,30,13,0
Murcia,2007,97374,45489,27786,11769,5434,3897,2124,503,200,126,30,16,0
Murcia,2006,90698,42127,25690,11015,5338,3693,2012,482,186,113,26,16,0
Murcia,2005,85110,40020,24219,10062,4747,3451,1845,448,171,109,24,14,0
Murcia,2004,82484,39295,23342,9564,4666,3229,1718,388,159,86,24,13,0
Murcia,2003,75973,36148,21394,8862,4332,3004,1592,393,144,83,16,5,0
Murcia,2002,72547,35301,20235,8211,3924,2747,1523,360,146,83,11,5,1
Murcia,2001,69865,34807,19187,7641,3695,2582,1372,335,143,85,14,4,0
Murcia,2000,68131,35097,18186,7224,3171,2544,1369,319,133,72,13,3,0
Murcia,1999,65523,34159,17532,6727,3035,2328,1256,296,108,60,16,6,0
Navarra,2012,41305,22482,10463,3800,1950,1331,788,238,149,78,15,11,0
Navarra,2011,41541,22899,9908,4038,1991,1376,825,257,157,64,17,9,0
Navarra,2010,42347,22770,10658,4143,2027,1369,865,258,164,68,17,7,1
Navarra,2009,43282,22806,11156,4122,2069,1585,982,298,156,78,20,10,0
Navarra,2008,43847,23086,11260,4184,2110,1605,1000,311,166,88,22,15,0
Navarra,2007,43142,22777,11046,4152,2073,1576,949,294,164,83,18,9,1
Navarra,2006,41083,21289,10783,3981,2045,1509,938,282,149,80,19,8,0
Navarra,2005,40730,21978,10031,3847,1965,1478,913,255,146,89,17,11,0
Navarra,2004,39679,21982,9230,3767,1924,1431,841,252,139,84,19,10,0
Navarra,2003,38936,21663,8997,3713,1811,1407,836,245,135,90,23,15,1
Navarra,2002,37333,19891,8938,3915,1912,1303,838,244,142,111,23,16,0
Navarra,2001,36606,20066,8585,3690,1758,1265,753,235,132,86,24,11,1
Navarra,2000,32818,18704,7090,3158,1420,1191,797,225,123,81,18,9,2
Navarra,1999,38294,22661,8267,3277,1554,1254,838,217,124,79,16,6,1
Ourense,2012,22845,12153,6995,2062,842,462,232,62,21,11,1,4,0
Ourense,2011,22987,12146,6922,2251,827,482,261,59,24,9,2,4,0
Ourense,2010,23100,12140,6925,2299,896,477,259,63,21,13,3,4,0
Ourense,2009,23304,12098,6995,2386,894,543,282,59,27,14,2,4,0
Ourense,2008,23711,12103,7284,2418,916,576,290,77,23,16,3,5,0
Ourense,2007,23520,12027,7265,2355,906,568,280,76,22,15,3,3,0
Ourense,2006,22843,11646,7054,2291,920,546,270,72,25,12,3,4,0
Ourense,2005,22452,11498,6872,2278,899,512,284,68,25,9,4,3,0
Ourense,2004,22118,11432,6707,2224,863,532,257,63,23,10,5,2,0
Ourense,2003,21560,11356,6368,2096,870,523,246,63,21,10,6,1,0
Ourense,2002,21215,11377,6141,1967,881,507,242,63,22,9,5,1,0
Ourense,2001,21136,11528,6001,1934,844,502,229,64,17,11,5,1,0
Ourense,2000,20959,11788,5654,1921,752,497,254,60,16,12,4,1,0
Ourense,1999,20598,11768,5509,1811,709,492,213,66,14,10,5,1,0
Palencia,2012,10640,5787,3095,986,374,210,133,34,9,9,2,1,0
Palencia,2011,10760,5794,3042,1102,395,225,153,25,12,10,1,1,0
Palencia,2010,10825,5734,3151,1109,397,227,150,31,12,11,2,1,0
Palencia,2009,10964,5755,3210,1088,438,260,155,32,15,9,1,1,0
Palencia,2008,11111,5767,3249,1135,454,278,163,37,15,11,1,1,0
Palencia,2007,11060,5750,3270,1125,423,279,153,31,17,10,1,1,0
Palencia,2006,10694,5571,3197,1055,396,267,147,32,17,10,1,1,0
Palencia,2005,10575,5595,3105,1015,392,272,139,32,16,7,1,1,0
Palencia,2004,10399,5551,3030,979,402,264,124,27,13,7,1,1,0
Palencia,2003,10297,5704,2869,908,395,248,132,21,12,6,1,1,0
Palencia,2002,10024,5653,2705,893,356,244,128,24,12,7,2,0,0
Palencia,2001,10041,5768,2663,850,359,247,104,30,12,7,1,0,0
Palencia,2000,10110,6024,2553,799,342,243,114,21,7,6,1,0,0
Palencia,1999,10023,6071,2493,777,308,222,114,23,7,8,0,0,0
Las Palmas,2012,68104,37646,17836,6344,3132,1719,897,283,158,69,16,4,0
Las Palmas,2011,68788,38492,17298,6580,3168,1784,943,255,176,72,14,6,0
Las Palmas,2010,70889,38217,19211,6816,3278,1820,980,292,180,73,15,7,0
Las Palmas,2009,72891,38166,19985,7213,3586,2088,1235,311,206,78,18,5,0
Las Palmas,2008,75236,38033,21229,7705,3888,2253,1411,359,215,116,21,6,0
Las Palmas,2007,73691,37092,20655,7636,3812,2345,1444,360,208,109,24,6,0
Las Palmas,2006,69173,34069,19609,7348,3851,2242,1380,356,192,99,22,5,0
Las Palmas,2005,67043,33062,19165,7024,3622,2207,1307,327,202,95,24,8,0
Las Palmas,2004,63003,30177,18337,6941,3520,2121,1288,316,183,91,24,5,0
Las Palmas,2003,61470,30203,17174,6736,3448,2071,1172,343,199,101,19,4,0
Las Palmas,2002,59175,29307,16256,6398,3383,2055,1144,336,193,81,16,6,0
Las Palmas,2001,56811,28276,15283,6240,3359,1886,1155,332,185,77,13,5,0
Las Palmas,2000,54857,27980,14580,5821,2670,2033,1208,309,174,68,9,5,0
Las Palmas,1999,52186,26775,13801,5586,2490,1912,1096,283,165,66,10,2,0
Pontevedra,2012,66970,33602,20635,6814,2872,1703,910,264,97,57,7,7,2
Pontevedra,2011,67728,33690,20186,7439,3116,1840,1007,275,97,62,6,8,2
Pontevedra,2010,68331,33231,20958,7420,3287,1890,1073,281,110,64,7,8,2
Pontevedra,2009,69350,32654,21436,7930,3467,2116,1236,306,122,65,9,7,2
Pontevedra,2008,70408,32543,22162,7980,3531,2302,1356,319,125,70,10,8,2
Pontevedra,2007,69018,32031,21637,7880,3428,2247,1289,294,132,59,11,9,1
Pontevedra,2006,65849,30308,20778,7505,3352,2181,1246,289,109,63,9,8,1
Pontevedra,2005,63125,29071,19863,7178,3235,2118,1207,260,112,61,10,9,1
Pontevedra,2004,61571,28339,19279,7179,3154,2063,1113,257,112,55,10,9,1
Pontevedra,2003,58373,27598,17891,6467,2944,1951,1088,256,104,54,10,9,1
Pontevedra,2002,56293,27137,16681,6297,2848,1837,1083,247,93,56,7,6,1
Pontevedra,2001,54710,26789,15967,5981,2759,1800,1019,240,90,50,7,7,1
Pontevedra,2000,53907,27245,15330,5735,2454,1735,1043,211,94,45,11,3,1
Pontevedra,1999,52013,26560,14898,5397,2265,1624,921,205,87,43,10,2,1
La Rioja,2012,22486,11818,6234,2178,1049,645,413,100,28,16,4,1,0
La Rioja,2011,22801,12066,5979,2429,1066,648,459,103,29,17,4,1,0
La Rioja,2010,23190,11854,6511,2436,1082,706,444,105,34,12,5,1,0
La Rioja,2009,23525,11913,6513,2523,1107,804,489,126,33,10,6,1,0
La Rioja,2008,23834,11784,6757,2576,1143,845,543,130,38,14,4,0,0
La Rioja,2007,23404,11598,6608,2553,1121,802,539,123,45,13,2,0,0
La Rioja,2006,22393,11011,6336,2480,1099,781,519,116,38,12,1,0,0
La Rioja,2005,21598,10833,6108,2257,1006,734,499,104,45,10,2,0,0
La Rioja,2004,21049,10657,5816,2229,952,768,471,101,42,12,1,0,0
La Rioja,2003,20094,10309,5458,2089,917,713,464,98,32,13,1,0,0
La Rioja,2002,19499,10151,5199,1955,924,671,462,90,33,12,2,0,0
La Rioja,2001,18985,10090,4976,1878,817,655,431,95,31,10,2,0,0
La Rioja,2000,18716,10211,4806,1786,718,624,441,90,29,8,3,0,0
La Rioja,1999,18398,10201,4675,1684,728,580,414,75,32,7,2,0,0
Salamanca,2012,22626,12396,6181,2200,968,542,240,63,23,10,1,2,0
Salamanca,2011,23010,12648,5985,2395,1032,575,270,71,19,11,1,3,0
Salamanca,2010,23376,12497,6423,2390,1066,598,290,73,23,12,1,3,0
Salamanca,2009,23481,12198,6636,2405,1096,670,348,83,26,13,3,3,0
Salamanca,2008,23869,12235,6736,2523,1147,716,383,88,24,12,1,4,0
Salamanca,2007,23594,12219,6610,2474,1097,711,353,86,22,17,1,4,0
Salamanca,2006,22859,11959,6334,2363,1096,650,339,76,25,12,1,4,0
Salamanca,2005,22281,11738,6095,2319,1067,613,337,75,19,12,2,4,0
Salamanca,2004,21417,11167,5976,2216,1042,600,314,72,16,8,2,4,0
Salamanca,2003,21199,11345,5695,2192,990,574,299,76,15,7,2,4,0
Salamanca,2002,20538,11087,5488,2052,938,589,297,60,16,7,1,3,0
Salamanca,2001,21176,11822,5532,2016,902,561,265,53,15,6,1,3,0
Salamanca,2000,21800,12605,5494,1967,794,572,295,49,16,4,1,3,0
Salamanca,1999,20569,11917,5232,1809,746,519,271,52,14,5,1,3,0
Santa Cruz de Tenerife,2012,63211,33913,17501,6197,2882,1497,789,232,129,61,7,3,0
Santa Cruz de Tenerife,2011,63700,34299,17149,6512,2922,1532,836,240,138,62,6,4,0
Santa Cruz de Tenerife,2010,65065,34101,18336,6562,3077,1594,914,261,158,52,7,3,0
Santa Cruz de Tenerife,2009,66490,33806,18860,6943,3309,1923,1103,286,192,52,10,6,0
Santa Cruz de Tenerife,2008,68235,33765,19577,7327,3523,2145,1261,334,191,91,16,5,0
Santa Cruz de Tenerife,2007,66723,32520,19389,7280,3517,2124,1268,323,199,80,19,4,0
Santa Cruz de Tenerife,2006,63637,30699,18509,7141,3416,2053,1229,304,179,87,15,5,0
Santa Cruz de Tenerife,2005,60977,29433,17919,6792,3141,1991,1132,306,162,84,13,4,0
Santa Cruz de Tenerife,2004,57291,26562,17260,6722,3193,1913,1102,276,165,81,12,5,0
Santa Cruz de Tenerife,2003,56401,26990,16478,6410,3086,1860,1042,274,160,88,8,5,0
Santa Cruz de Tenerife,2002,53990,26139,15519,6056,2979,1793,1008,265,140,78,10,3,0
Santa Cruz de Tenerife,2001,51808,25547,14473,5748,2900,1746,933,251,135,66,6,3,0
Santa Cruz de Tenerife,2000,50375,25422,13891,5443,2356,1798,1021,244,128,63,7,2,0
Santa Cruz de Tenerife,1999,47822,24269,13284,5116,2219,1620,906,237,106,56,8,1,0
Segovia,2012,11218,6189,3060,1093,439,249,139,33,9,5,1,1,0
Segovia,2011,11392,6283,2974,1181,506,260,134,39,7,5,2,1,0
Segovia,2010,11597,6203,3218,1197,500,280,149,35,7,5,2,1,0
Segovia,2009,11697,6124,3258,1258,504,338,159,35,13,5,2,1,0
Segovia,2008,11906,6121,3415,1242,547,362,164,35,10,6,2,2,0
Segovia,2007,11629,6014,3350,1205,506,337,159,41,10,4,2,1,0
Segovia,2006,11032,5788,3105,1121,506,314,147,35,9,4,2,1,0
Segovia,2005,10580,5634,2951,1041,449,306,152,30,10,4,1,2,0
Segovia,2004,10371,5625,2784,1010,476,276,157,28,8,5,1,1,0
Segovia,2003,9960,5447,2620,977,450,290,136,24,10,4,1,1,0
Segovia,2002,9698,5447,2464,898,457,256,133,28,10,5,0,0,0
Segovia,2001,9754,5617,2417,881,420,243,136,26,9,5,0,0,0
Segovia,2000,9775,5771,2378,822,371,259,135,23,10,6,0,0,0
Segovia,1999,9572,5756,2295,767,359,229,129,24,8,5,0,0,0
Sevilla,2012,113049,62138,30380,10674,4831,2755,1509,397,230,86,28,20,1
Sevilla,2011,115104,63463,29692,11437,5139,2942,1636,415,252,79,27,20,2
Sevilla,2010,116083,62403,30949,11753,5221,3132,1776,454,261,88,24,21,1
Sevilla,2009,118057,62210,31428,12214,5604,3676,1994,514,271,102,26,15,3
Sevilla,2008,119340,61240,32123,12546,5976,4061,2314,574,292,168,31,13,2
Sevilla,2007,115491,59878,30517,12023,5863,3939,2236,586,274,132,29,13,1
Sevilla,2006,110151,57948,28467,11401,5481,3707,2172,531,270,138,25,11,0
Sevilla,2005,104847,55397,27233,10634,5115,3514,2031,524,231,136,19,13,0
Sevilla,2004,100309,53341,25833,10246,4850,3350,1854,483,208,112,18,14,0
Sevilla,2003,93723,50498,23766,9368,4490,3102,1707,471,195,97,15,13,1
Sevilla,2002,89367,48885,22279,8712,4240,2926,1588,445,185,79,19,9,0
Sevilla,2001,87844,49034,21383,8401,4047,2801,1471,431,171,85,9,11,0
Sevilla,2000,87598,50839,20574,7902,3499,2619,1510,407,152,78,7,10,1
Sevilla,1999,86153,50715,20269,7607,3273,2397,1292,358,145,79,8,10,0
Soria,2012,5907,3024,1752,600,246,174,73,18,12,6,1,1,0
Soria,2011,5865,3079,1575,671,241,182,80,21,10,4,1,1,0
Soria,2010,5885,3096,1551,668,258,190,83,25,9,3,1,1,0
Soria,2009,6041,3063,1740,660,255,187,98,23,9,4,1,1,0
Soria,2008,6087,3047,1797,655,248,200,98,25,10,5,1,1,0
Soria,2007,6008,3049,1755,631,259,176,100,23,8,6,0,1,0
Soria,2006,5900,2981,1716,627,264,175,100,22,10,4,0,1,0
Soria,2005,5825,2939,1720,610,248,177,100,19,6,5,0,1,0
Soria,2004,5701,2869,1678,602,239,180,104,16,8,4,0,1,0
Soria,2003,5595,2941,1556,566,247,161,99,15,6,4,0,0,0
Soria,2002,5500,2945,1498,537,235,166,96,16,5,2,0,0,0
Soria,2001,5402,2985,1404,506,241,152,93,14,5,2,0,0,0
Soria,2000,5421,3066,1397,483,194,163,99,11,6,1,1,0,0
Soria,1999,5344,3055,1375,461,184,160,88,10,7,2,2,0,0
Tarragona,2012,53253,28647,15417,5000,2116,1143,611,179,81,40,12,7,0
Tarragona,2011,54534,29382,14946,5672,2235,1262,687,192,97,41,12,8,0
Tarragona,2010,55914,29384,16038,5710,2339,1340,737,185,121,43,11,6,0
Tarragona,2009,56915,28854,16668,5947,2593,1624,833,208,128,40,13,7,0
Tarragona,2008,58973,28773,17617,6438,2886,1841,983,240,125,51,13,6,0
Tarragona,2007,56799,27567,16852,6329,2865,1783,980,238,116,53,10,6,0
Tarragona,2006,52805,25265,15640,6107,2735,1722,941,216,116,49,9,5,0
Tarragona,2005,51159,24987,14982,5753,2502,1662,898,215,99,48,8,5,0
Tarragona,2004,49634,23702,14766,5719,2593,1670,843,200,83,44,9,5,0
Tarragona,2003,45777,22048,13561,5136,2393,1500,811,193,76,48,7,4,0
Tarragona,2002,44608,21696,13059,5015,2229,1468,818,190,80,42,4,7,0
Tarragona,2001,43550,21828,12518,4670,2118,1374,748,170,75,41,4,4,0
Tarragona,2000,42419,21909,11900,4402,1818,1339,779,161,67,36,4,3,1
Tarragona,1999,41184,21519,11602,4180,1711,1237,696,138,64,29,5,2,1
Teruel,2012,9212,4558,2911,989,405,215,106,17,5,5,1,0,0
Teruel,2011,9260,4597,2749,1087,440,231,123,21,6,5,1,0,0
Teruel,2010,9388,4592,2863,1091,440,239,129,22,7,4,1,0,0
Teruel,2009,9533,4677,2832,1098,466,270,149,24,10,4,2,1,0
Teruel,2008,9672,4662,2935,1114,460,304,151,28,9,6,3,0,0
Teruel,2007,9502,4632,2885,1076,453,271,144,25,9,4,3,0,0
Teruel,2006,9099,4520,2679,1041,427,260,129,27,7,6,3,0,0
Teruel,2005,8804,4397,2624,973,410,232,130,20,6,10,2,0,0
Teruel,2004,8705,4372,2640,919,396,234,109,17,10,4,4,0,0
Teruel,2003,8257,4216,2434,895,359,224,95,13,10,8,3,0,0
Teruel,2002,8017,4158,2305,866,340,230,90,15,9,4,0,0,0
Teruel,2001,7928,4175,2270,828,334,197,91,17,7,9,0,0,0
Teruel,2000,7927,4266,2228,808,289,209,98,18,7,4,0,0,0
Teruel,1999,7799,4262,2169,762,275,204,97,18,7,5,0,0,0
Toledo,2012,43717,23224,12812,4118,1745,1072,559,122,46,17,2,0,0
Toledo,2011,44854,23402,12619,4833,1949,1198,649,125,58,19,2,0,0
Toledo,2010,45223,22995,13141,4841,2039,1302,679,137,68,19,2,0,0
Toledo,2009,46799,23254,13609,5112,2228,1543,817,150,57,26,3,0,0
Toledo,2008,48502,23538,14275,5322,2421,1707,942,197,57,39,4,0,0
Toledo,2007,46342,22858,13362,5078,2270,1613,892,172,61,31,5,0,0
Toledo,2006,42789,21165,12068,4816,2168,1475,841,158,64,29,4,1,0
Toledo,2005,40416,20532,11255,4335,1901,1395,769,151,47,28,3,0,0
Toledo,2004,38457,19757,10588,4070,1783,1344,700,142,41,29,3,0,0
Toledo,2003,36001,18663,9757,3730,1704,1263,677,130,45,28,4,0,0
Toledo,2002,31783,16191,8514,3408,1645,1186,652,125,39,21,2,0,0
Toledo,2001,33158,17688,8520,3391,1601,1150,624,118,41,22,3,0,0
Toledo,2000,32793,18094,8187,3135,1400,1154,651,119,28,21,4,0,0
Toledo,1999,31992,17925,7948,2971,1314,1060,628,102,25,17,2,0,0
Total Nacional,2012,3199617,1764987,867550,288896,131944,79113,43070,12700,6434,3214,935,669,105
Total Nacional,2011,3250576,1795321,847952,313408,138040,84834,46160,13279,6585,3288,923,679,107
Total Nacional,2010,3291263,1774005,893005,318155,143016,88396,48765,13745,7098,3374,952,651,101
Total Nacional,2009,3355830,1767470,919092,332671,151233,101601,55641,15075,7672,3578,1008,678,111
Total Nacional,2008,3422239,1754374,958711,345848,160460,110369,61709,16242,8061,4511,1117,725,112
Total Nacional,2007,3336657,1706140,932526,340638,158159,108866,60738,15737,7780,4218,1072,684,99
Total Nacional,2006,3174393,1616883,881748,328820,154635,105470,58725,15087,7367,3908,999,658,93
Total Nacional,2005,3064129,1574166,850367,310787,145443,100211,56260,14394,7003,3817,967,630,84
Total Nacional,2004,2942583,1500396,818149,303783,143417,98245,53267,13470,6650,3590,945,592,79
Total Nacional,2003,2813159,1459938,760515,285651,136679,93823,51619,13486,6402,3540,878,550,78
Total Nacional,2002,2710400,1425332,716914,271764,131666,89840,50595,13468,6190,3276,815,466,74
Total Nacional,2001,2645317,1408792,692964,259764,126050,86308,48205,12953,5867,3180,744,418,72
