provincia,año,total,total_dif,asalariados_0,asalariados_0_dif,asalariados_1_2,asalariados_1_2_dif,asalariados_3_5,asalariados_3_5_dif,asalariados_6_9,asalariados_6_9_dif,asalariados_10_19,asalariados_10_19_dif,asalariados_20_49,asalariados_20_49_dif,asalariados_50_99,asalariados_50_99_dif,asalariados_100_199,asalariados_100_199_dif,asalariados_200_499,asalariados_200_499_dif,asalariados_500_999,asalariados_500_999_dif,asalariados_1000_4999,asalariados_1000_4999_dif,asalariados_5000,asalariados_5000_dif
Cádiz,2004,57138,2676,29621,867,15509,860,6103,560,2727,164,1793,157,976,56,241,-1,109,10,47,-4,7,7,5,0,0,0
Cádiz,2003,54462,2142,28754,695,14649,843,5543,272,2563,197,1636,77,920,47,242,5,99,-5,51,10,0,-1,5,2,0,0
Cádiz,2002,52320,2245,28059,996,13806,541,5271,321,2366,160,1559,107,873,90,237,16,104,16,41,-2,1,-1,3,1,0,0
Cádiz,2001,50075,4189,27063,2249,13265,923,4950,546,2206,359,1452,93,783,-7,221,26,88,-7,43,7,2,1,2,-1,0,0
Cádiz,2000,45886,-319,24814,-825,12342,41,4404,54,1847,143,1359,131,790,100,195,25,95,10,36,3,1,-2,3,1,0,0
Cádiz,1999,46205,NULL,25639,NULL,12301,NULL,4350,NULL,1704,NULL,1228,NULL,690,NULL,170,NULL,85,NULL,33,NULL,3,NULL,2,NULL,0,NULL
Cantabria,2012,38137,-730,19789,-251,11405,118,3698,-362,1534,-109,933,-96,524,-12,141,-14,67,-4,35,1,7,0,2,-1,2,0
Cantabria,2011,38867,-157,20040,258,11287,-237,4060,-3,1643,-128,1029,2,536,-46,155,-1,71,0,34,-1,7,0,3,-1,2,0
Cantabria,2010,39024,-587,19782,21,11524,-247,4063,-116,1771,-44,1027,-121,582,-63,156,-6,71,-9,35,-1,7,0,4,-1,2,0
Cantabria,2009,39611,-782,19761,121,11771,-493,4179,-173,1815,-61,1148,-83,645,-74,162,-17,80,2,36,-5,7,0,5,1,2,0
Cantabria,2008,40393,833,19640,274,12264,368,4352,189,1876,-17,1231,-10,719,25,179,-6,78,4,41,6,7,-1,4,0,2,1
Cantabria,2007,39560,1870,19366,863,11896,657,4163,185,1893,47,1241,69,694,33,185,7,74,8,35,0,8,2,4,-1,1,0
Cantabria,2006,37690,1129,18503,546,11239,274,3978,148,1846,114,1172,22,661,12,178,9,66,0,35,3,6,1,5,0,1,0
Cantabria,2005,36561,912,17957,279,10965,441,3830,133,1732,38,1150,-4,649,23,169,8,66,-1,32,-5,5,0,5,0,1,0
Cantabria,2004,35649,1632,17678,298,10524,868,3697,205,1694,64,1154,161,626,29,161,-7,67,10,37,3,5,0,5,1,1,0
Cantabria,2003,34017,1000,17380,164,9656,577,3492,135,1630,64,993,19,597,38,168,-5,57,-2,34,9,5,-2,4,3,1,0
Cantabria,2002,33017,729,17216,108,9079,301,3357,161,1566,85,974,36,559,18,173,17,59,5,25,-3,7,1,1,0,1,0
Cantabria,2001,32288,-161,17108,-760,8778,261,3196,138,1481,171,938,8,541,2,156,15,54,5,28,2,6,-1,1,-2,1,0
Cantabria,2000,32449,1002,17868,384,8517,203,3058,220,1310,52,930,80,539,32,141,18,49,8,26,2,7,0,3,3,1,0
Cantabria,1999,31447,NULL,17484,NULL,8314,NULL,2838,NULL,1258,NULL,850,NULL,507,NULL,123,NULL,41,NULL,24,NULL,7,NULL,0,NULL,1,NULL
Castellón,2012,39748,-625,20429,-190,12092,321,3867,-494,1547,-132,934,-79,537,-39,177,-5,88,-10,56,3,15,0,6,0,0,0
Castellón,2011,40373,-424,20619,586,11771,-647,4361,-47,1679,-159,1013,-85,576,-38,182,-24,98,-6,53,-5,15,-1,6,2,0,0
Castellón,2010,40797,-1325,20033,-57,12418,-314,4408,-280,1838,-233,1098,-242,614,-126,206,-42,104,-13,58,-16,16,-2,4,0,0,0
Castellón,2009,42122,-1733,20090,-158,12732,-689,4688,-269,2071,-162,1340,-273,740,-100,248,-43,117,-32,74,-2,18,-2,4,-3,0,0
Castellón,2008,43855,1379,20248,844,13421,344,4957,127,2233,31,1613,28,840,-31,291,33,149,0,76,2,20,1,7,0,0,0
Castellón,2007,42476,2727,19404,1353,13077,944,4830,193,2202,88,1585,93,871,47,258,1,149,3,74,5,19,1,7,-1,0,0
Castellón,2006,39749,1884,18051,556,12133,562,4637,343,2114,226,1492,128,824,44,257,25,146,5,69,-9,18,1,8,3,0,0
Castellón,2005,37865,651,17495,179,11571,361,4294,18,1888,19,1364,15,780,53,232,-8,141,4,78,10,17,-1,5,1,0,0
Castellón,2004,37214,3001,17316,1376,11210,1007,4276,436,1869,53,1349,95,727,34,240,-17,137,7,68,5,18,3,4,2,0,0
Castellón,2003,34213,1447,15940,342,10203,735,3840,164,1816,144,1254,54,693,-2,257,-6,130,7,63,7,15,2,2,0,0,0
Castellón,2002,32766,941,15598,341,9468,288,3676,168,1672,26,1200,96,695,10,263,6,123,7,56,-1,13,0,2,0,0,0
Castellón,2001,31825,104,15257,-827,9180,489,3508,186,1646,244,1104,-8,685,-26,257,28,116,12,57,3,13,2,2,1,0,0
Castellón,2000,31721,1085,16084,573,8691,158,3322,120,1402,89,1112,71,711,59,229,8,104,3,54,2,11,2,1,0,0,0
Castellón,1999,30636,NULL,15511,NULL,8533,NULL,3202,NULL,1313,NULL,1041,NULL,652,NULL,221,NULL,101,NULL,52,NULL,9,NULL,1,NULL,0,NULL
Ceuta,2012,3622,-20,1860,-118,1074,110,368,-3,159,-8,92,-1,48,0,11,-2,8,3,1,-1,1,0,0,0,0,0
Ceuta,2011,3642,27,1978,2,964,24,371,12,167,0,93,-9,48,-1,13,-1,5,0,2,0,1,0,0,0,0,0
Ceuta,2010,3615,-74,1976,17,940,-65,359,-26,167,4,102,2,49,-7,14,0,5,1,2,0,1,0,0,0,0,0
Ceuta,2009,3689,-35,1959,15,1005,-95,385,37,163,6,100,3,56,-1,14,3,4,-3,2,0,1,0,0,0,0,0
Ceuta,2008,3724,-28,1944,-40,1100,29,348,-26,157,20,97,-4,57,-8,11,0,7,-1,2,2,1,0,0,0,0,0
Ceuta,2007,3752,52,1984,-27,1071,36,374,48,137,-15,101,6,65,2,11,-1,8,3,0,0,1,0,0,0,0,0
Ceuta,2006,3700,-35,2011,-31,1035,-47,326,22,152,12,95,12,63,5,12,-4,5,-1,0,-3,1,0,0,0,0,0
Ceuta,2005,3735,68,2042,84,1082,15,304,-28,140,9,83,-12,58,-2,16,2,6,0,3,0,1,0,0,0,0,0
Ceuta,2004,3667,120,1958,-2,1067,81,332,18,131,1,95,14,60,1,14,6,6,0,3,0,1,1,0,0,0,0
Ceuta,2003,3547,82,1960,49,986,29,314,4,130,0,81,0,59,0,8,-1,6,0,3,1,0,0,0,0,0,0
Ceuta,2002,3465,26,1911,20,957,-5,310,6,130,-6,81,-3,59,13,9,0,6,-1,2,2,0,0,0,0,0,0
Ceuta,2001,3439,25,1891,-15,962,-11,304,32,136,20,84,-3,46,-2,9,3,7,2,0,-1,0,0,0,0,0,0
Ceuta,2000,3414,89,1906,19,973,57,272,-2,116,7,87,7,48,1,6,-2,5,2,1,0,0,0,0,0,0,0
Ceuta,1999,3325,NULL,1887,NULL,916,NULL,274,NULL,109,NULL,80,NULL,47,NULL,8,NULL,3,NULL,1,NULL,0,NULL,0,NULL,0,NULL
"Ciudad Real",2012,30600,-529,15983,-115,9066,175,2990,-305,1253,-116,783,-94,380,-66,91,-2,39,-6,12,2,2,-1,1,-1,0,0
"Ciudad Real",2011,31129,-498,16098,55,8891,-352,3295,-40,1369,-68,877,-47,446,-39,93,-9,45,3,10,-1,3,0,2,0,0,0
"Ciudad Real",2010,31627,-419,16043,-130,9243,140,3335,-86,1437,-129,924,-136,485,-53,102,-15,42,-12,11,2,3,-1,2,1,0,0
"Ciudad Real",2009,32046,-965,16173,-50,9103,-401,3421,-169,1566,-61,1060,-150,538,-95,117,-28,54,-1,9,-12,4,4,1,-2,0,0
"Ciudad Real",2008,33011,1130,16223,418,9504,457,3590,111,1627,65,1210,58,633,4,145,9,55,6,21,3,0,-1,3,0,0,0
"Ciudad Real",2007,31881,1435,15805,388,9047,642,3479,244,1562,34,1152,55,629,56,136,7,49,5,18,3,1,1,3,0,0,0
"Ciudad Real",2006,30446,925,15417,263,8405,191,3235,204,1528,152,1097,64,573,30,129,15,44,4,15,1,0,0,3,1,0,0
"Ciudad Real",2005,29521,510,15154,28,8214,233,3031,119,1376,15,1033,63,543,46,114,9,40,-2,14,0,0,-1,2,0,0,0
"Ciudad Real",2004,29011,2233,15126,1105,7981,705,2912,251,1361,58,970,71,497,33,105,-2,42,4,14,7,1,1,2,0,0,0
"Ciudad Real",2003,26778,1191,14021,413,7276,486,2661,138,1303,80,899,25,464,27,107,18,38,2,7,1,0,0,2,1,0,0
"Ciudad Real",2002,25587,152,13608,-243,6790,144,2523,117,1223,54,874,43,437,30,89,1,36,6,6,0,0,0,1,0,0,0
"Ciudad Real",2001,25435,858,13851,154,6646,337,2406,143,1169,181,831,47,407,-10,88,3,30,7,6,-4,0,0,1,0,0,0
"Ciudad Real",2000,24577,-537,13697,-617,6309,-92,2263,35,988,46,784,64,417,28,85,-6,23,3,10,2,0,-1,1,1,0,0
"Ciudad Real",1999,25114,NULL,14314,NULL,6401,NULL,2228,NULL,942,NULL,720,NULL,389,NULL,91,NULL,20,NULL,8,NULL,1,NULL,0,NULL,0,NULL
Córdoba,2012,46601,-864,24823,-505,13623,522,4332,-573,1857,-147,1153,-100,580,-47,138,-21,53,1,34,5,4,0,4,1,0,0
Córdoba,2011,47465,-784,25328,223,13101,-635,4905,-166,2004,-43,1253,-76,627,-67,159,0,52,-22,29,3,4,-1,3,0,0,0
Córdoba,2010,48249,-730,25105,121,13736,-209,5071,-82,2047,-277,1329,-189,694,-67,159,-18,74,-6,26,-1,5,-1,3,-1,0,0
Córdoba,2009,48979,-1078,24984,237,13945,-460,5153,-309,2324,-149,1518,-224,761,-118,177,-35,80,3,27,-19,6,0,4,-4,0,0
Córdoba,2008,50057,755,24747,-1,14405,513,5462,202,2473,13,1742,25,879,-30,212,16,77,8,46,7,6,-2,8,4,0,0
Córdoba,2007,49302,2147,24748,852,13892,762,5260,198,2460,185,1717,71,909,70,196,-3,69,1,39,9,8,0,4,2,0,0
Córdoba,2006,47155,1750,23896,583,13130,517,5062,352,2275,141,1646,101,839,26,199,31,68,-5,30,1,8,3,2,0,0,0
Córdoba,2005,45405,2011,23313,669,12613,793,4710,265,2134,109,1545,78,813,80,168,7,73,3,29,6,5,2,2,-1,0,0
Córdoba,2004,43394,1430,22644,492,11820,496,4445,163,2025,98,1467,124,733,46,161,-1,70,12,23,-1,3,0,3,1,0,0
Córdoba,2003,41964,1483,22152,626,11324,458,4282,274,1927,22,1343,39,687,54,162,-4,58,15,24,-2,3,0,2,1,0,0
Córdoba,2002,40481,1105,21526,-41,10866,620,4008,211,1905,145,1304,129,633,11,166,21,43,8,26,1,3,0,1,0,0,0
Córdoba,2001,39376,-980,21567,-1448,10246,27,3797,290,1760,195,1175,-47,622,9,145,-7,35,-4,25,5,3,0,1,0,0,0
Córdoba,2000,40356,7504,23015,5489,10219,1303,3507,306,1565,125,1222,181,613,72,152,26,39,2,20,-1,3,1,1,0,0,0
Córdoba,1999,32852,NULL,17526,NULL,8916,NULL,3201,NULL,1440,NULL,1041,NULL,541,NULL,126,NULL,37,NULL,21,NULL,2,NULL,1,NULL,0,NULL
"A Coruña",2012,80408,-913,44154,-687,22359,842,7332,-661,3224,-122,1813,-147,981,-110,290,-31,134,-12,80,3,17,7,20,4,4,1
"A Coruña",2011,81321,-1408,44841,613,21517,-1779,7993,-59,3346,-31,1960,-62,1091,-69,321,-13,146,-2,77,-6,10,-1,16,1,3,0
"A Coruña",2010,82729,-1019,44228,221,23296,-570,8052,-130,3377,-148,2022,-235,1160,-118,334,-21,148,-10,83,-2,11,-5,15,-1,3,0
"A Coruña",2009,83748,-472,44007,693,23866,-764,8182,-91,3525,-141,2257,-84,1278,-68,355,-3,158,-4,85,-7,16,0,16,-3,3,0
"A Coruña",2008,84220,1347,43314,453,24630,605,8273,113,3666,34,2341,43,1346,60,358,20,162,6,92,14,16,-2,19,-1,3,2
"A Coruña",2007,82873,3703,42861,2195,24025,961,8160,223,3632,252,2298,10,1286,36,338,15,156,1,78,5,18,3,20,2,1,0
"A Coruña",2006,79170,2147,40666,768,23064,879,7937,294,3380,80,2288,73,1250,13,323,26,155,13,73,2,15,-1,18,0,1,0
"A Coruña",2005,77023,2214,39898,1152,22185,754,7643,93,3300,103,2215,13,1237,57,297,16,142,14,71,11,16,0,18,1,1,0
"A Coruña",2004,74809,3061,38746,1137,21431,1226,7550,398,3197,155,2202,105,1180,43,281,-3,128,8,60,-10,16,1,17,1,1,0
"A Coruña",2003,71748,5472,37609,3221,20205,1663,7152,424,3042,66,2097,66,1137,3,284,26,120,-15,70,15,15,-1,16,5,1,-1
"A Coruña",2002,66276,-3745,34388,-3696,18542,-265,6728,122,2976,10,2031,49,1134,18,258,6,135,6,55,-3,16,1,11,6,2,1
"A Coruña",2001,70021,640,38084,-738,18807,703,6606,307,2966,304,1982,43,1116,-4,252,3,129,19,58,4,15,-2,5,0,1,1
"A Coruña",2000,69381,6214,38822,4044,18104,1172,6299,504,2662,178,1939,136,1120,106,249,39,110,25,54,5,17,5,5,0,0,0
"A Coruña",1999,63167,NULL,34778,NULL,16932,NULL,5795,NULL,2484,NULL,1803,NULL,1014,NULL,210,NULL,85,NULL,49,NULL,12,NULL,5,NULL,0,NULL
Cuenca,2012,13702,-299,7310,-200,4023,207,1354,-222,527,-34,293,-37,142,-12,37,-1,11,0,2,0,1,0,2,0,0,0
Cuenca,2011,14001,-235,7510,102,3816,-312,1576,26,561,-6,330,-42,154,-7,38,9,11,-6,2,0,1,0,2,1,0,0
Cuenca,2010,14236,-511,7408,-356,4128,37,1550,-66,567,-64,372,-22,161,-35,29,-5,17,2,2,-2,1,0,1,0,0,0
Cuenca,2009,14747,-181,7764,348,4091,-370,1616,-73,631,-47,394,-12,196,-18,34,-7,15,0,4,-2,1,0,1,0,0,0
Cuenca,2008,14928,187,7416,-48,4461,68,1689,61,678,77,406,2,214,17,41,4,15,5,6,0,1,1,1,0,0,0
Cuenca,2007,14741,919,7464,432,4393,307,1628,127,601,4,404,41,197,4,37,6,10,-3,6,1,0,0,1,0,0,0
Cuenca,2006,13822,486,7032,17,4086,168,1501,156,597,70,363,31,193,41,31,4,13,0,5,-1,0,0,1,0,0,0
Cuenca,2005,13336,507,7015,224,3918,217,1345,22,527,-12,332,26,152,25,27,2,13,3,6,0,0,0,1,0,0,0
Cuenca,2004,12829,283,6791,-8,3701,125,1323,114,539,14,306,30,127,6,25,1,10,2,6,-1,0,0,1,0,0,0
Cuenca,2003,12546,329,6799,-41,3576,233,1209,94,525,43,276,2,121,-3,24,4,8,-4,7,1,0,0,1,0,0,0
Cuenca,2002,12217,174,6840,-33,3343,139,1115,15,482,24,274,15,124,8,20,1,12,3,6,3,0,-1,1,0,0,0
Cuenca,2001,12043,24,6873,-185,3204,91,1100,50,458,79,259,-10,116,-1,19,2,9,-1,3,-1,1,0,1,0,0,0
Cuenca,2000,12019,332,7058,115,3113,127,1050,42,379,-4,269,40,117,10,17,0,10,2,4,0,1,0,1,0,0,0
Cuenca,1999,11687,NULL,6943,NULL,2986,NULL,1008,NULL,383,NULL,229,NULL,107,NULL,17,NULL,8,NULL,4,NULL,1,NULL,1,NULL,0,NULL
Guipúzcoa,2012,55574,-2882,29745,-2429,15389,-382,4887,-17,2442,20,1676,-11,918,-58,294,-14,140,9,63,-1,12,2,8,-1,0,0
Guipúzcoa,2011,58456,-2124,32174,-1066,15771,-722,4904,-205,2422,-58,1687,-52,976,-23,308,8,131,-8,64,5,10,-2,9,-1,0,0
Guipúzcoa,2010,60580,-1454,33240,-469,16493,-576,5109,14,2480,-87,1739,-158,999,-161,300,-14,139,3,59,-7,12,-1,10,2,0,0
Guipúzcoa,2009,62034,-1535,33709,-1000,17069,-444,5095,-23,2567,-20,1897,-14,1160,10,314,-30,136,4,66,-11,13,-6,8,-1,0,0
Guipúzcoa,2008,63569,4023,34709,3371,17513,366,5118,48,2587,156,1911,34,1150,32,344,15,132,-2,77,3,19,-1,9,1,0,0
Guipúzcoa,2007,59546,1060,31338,622,17147,153,5070,113,2431,67,1877,56,1118,53,329,-2,134,-4,74,0,20,2,8,0,0,0
Guipúzcoa,2006,58486,1293,30716,1306,16994,-216,4957,133,2364,11,1821,22,1065,18,331,11,138,2,74,1,18,5,8,0,0,0
Guipúzcoa,2005,57193,695,29410,204,17210,510,4824,-16,2353,-101,1799,45,1047,24,320,15,136,13,73,1,13,-1,8,1,0,0
Guipúzcoa,2004,56498,515,29206,-601,16700,873,4840,80,2454,137,1754,-19,1023,36,305,3,123,7,72,-2,14,-1,7,2,0,0
Guipúzcoa,2003,55983,781,29807,-645,15827,979,4760,194,2317,114,1773,61,987,55,302,16,116,3,74,2,15,1,5,1,0,0
Guipúzcoa,2002,55202,22,30452,1422,14848,-1490,4566,-39,2203,0,1712,81,932,42,286,-7,113,7,72,4,14,3,4,-1,0,0
Guipúzcoa,2001,55180,1347,29030,411,16338,523,4605,191,2203,298,1631,-29,890,-41,293,-13,106,2,68,6,11,-1,5,0,0,0
Guipúzcoa,2000,53833,1331,28619,146,15815,611,4414,201,1905,139,1660,142,931,57,306,35,104,10,62,-8,12,-2,5,0,0,0
Guipúzcoa,1999,52502,NULL,28473,NULL,15204,NULL,4213,NULL,1766,NULL,1518,NULL,874,NULL,271,NULL,94,NULL,70,NULL,14,NULL,5,NULL,0,NULL
Girona,2012,57971,-81,29671,-1010,17031,1362,5833,-233,2702,-12,1558,-117,822,-58,215,0,83,-12,45,1,7,-1,4,-1,0,0
Girona,2011,58052,-188,30681,-44,15669,158,6066,-63,2714,-68,1675,-79,880,-80,215,-3,95,-11,44,2,8,0,5,0,0,0
Girona,2010,58240,-164,30725,517,15511,85,6129,-180,2782,-183,1754,-256,960,-135,218,-5,106,-10,42,2,8,1,5,0,0,0
Girona,2009,58404,6937,30208,7751,15426,-128,6309,-169,2965,-206,2010,-170,1095,-101,223,-19,116,-12,40,-10,7,2,5,-1,0,0
Girona,2008,51467,1359,22457,665,15554,394,6478,233,3171,27,2180,-36,1196,61,242,-2,128,10,50,8,5,0,6,0,0,-1
Girona,2007,50108,2939,21792,1938,15160,734,6245,179,3144,-41,2216,102,1135,16,244,6,118,6,42,2,5,-2,6,-2,1,1
Girona,2006,47169,342,19854,465,14426,-616,6066,93,3185,226,2114,96,1119,75,238,7,112,-9,40,4,7,0,8,1,0,0
Girona,2005,46827,1682,19389,1311,15042,201,5973,33,2959,-2,2018,53,1044,51,231,23,121,8,36,3,7,0,7,1,0,0
Girona,2004,45145,-7337,18078,-7035,14841,-554,5940,77,2961,82,1965,62,993,30,208,4,113,-5,33,1,7,-1,6,2,0,0
Girona,2003,52482,2256,25113,1029,15395,801,5863,211,2879,50,1903,169,963,5,204,-26,118,20,32,-5,8,5,4,-3,0,0
Girona,2002,50226,1791,24084,613,14594,654,5652,298,2829,97,1734,58,958,72,230,-1,98,1,37,-4,3,-1,7,4,0,0
Girona,2001,48435,462,23471,-336,13940,310,5354,162,2732,399,1676,-78,886,-32,231,7,97,18,41,12,4,0,3,0,0,0
Girona,2000,47973,1417,23807,824,13630,83,5192,170,2333,160,1754,96,918,45,224,31,79,8,29,3,4,-4,3,1,0,0
Girona,1999,46556,NULL,22983,NULL,13547,NULL,5022,NULL,2173,NULL,1658,NULL,873,NULL,193,NULL,71,NULL,26,NULL,8,NULL,2,NULL,0,NULL
Granada,2012,56243,-1393,31241,-960,16083,386,5038,-515,2026,-119,1076,-87,527,-87,149,0,64,-6,31,-1,6,-3,2,-1,0,0
Granada,2011,57636,-683,32201,490,15697,-841,5553,-38,2145,-169,1163,-78,614,-17,149,-28,70,-3,32,2,9,-1,3,0,0,0
Granada,2010,58319,-1697,31711,-211,16538,-530,5591,-380,2314,-231,1241,-231,631,-87,177,-18,73,-9,30,0,10,0,3,0,0,0
Granada,2009,60016,-2253,31922,-687,17068,-528,5971,-369,2545,-196,1472,-257,718,-150,195,-35,82,-14,30,-11,10,-6,3,0,0,0
Granada,2008,62269,1214,32609,200,17596,640,6340,239,2741,91,1729,41,868,-14,230,13,96,0,41,-2,16,7,3,-1,0,0
Granada,2007,61055,3832,32409,1841,16956,1245,6101,468,2650,158,1688,37,882,64,217,14,96,-1,43,4,9,1,4,1,0,0
Granada,2006,57223,2882,30568,775,15711,1075,5633,555,2492,217,1651,203,818,37,203,11,97,9,39,-1,8,1,3,0,0,0
Granada,2005,54341,3833,29793,2451,14636,793,5078,267,2275,116,1448,105,781,67,192,26,88,11,40,-4,7,2,3,-1,0,0
Granada,2004,50508,846,27342,-636,13843,880,4811,324,2159,148,1343,53,714,45,166,9,77,8,44,15,5,0,4,0,0,0
Granada,2003,49662,1541,27978,107,12963,753,4487,356,2011,183,1290,71,669,52,157,14,69,6,29,-4,5,2,4,2,0,-1
Granada,2002,48121,2506,27871,906,12210,831,4131,403,1828,162,1219,133,617,44,143,17,63,0,33,9,3,0,2,1,1,0
Granada,2001,45615,504,26965,-628,11379,634,3728,147,1666,281,1086,27,573,15,126,16,63,8,24,4,3,0,1,0,1,0
Granada,2000,45111,1728,27593,752,10745,387,3581,288,1385,99,1059,106,558,74,110,5,55,13,20,2,3,1,1,0,1,1
Granada,1999,43383,NULL,26841,NULL,10358,NULL,3293,NULL,1286,NULL,953,NULL,484,NULL,105,NULL,42,NULL,18,NULL,2,NULL,1,NULL,0,NULL
Guadalajara,2012,13213,-43,7511,-41,3550,216,1174,-161,489,-16,276,-29,127,-12,49,-4,23,1,10,1,3,1,1,1,0,0
Guadalajara,2011,13256,-238,7552,146,3334,-324,1335,19,505,-41,305,-18,139,-17,53,5,22,-6,9,-2,2,0,0,0,0,0
Guadalajara,2010,13494,-13,7406,239,3658,-111,1316,-52,546,-20,323,-44,156,-17,48,-5,28,0,11,-3,2,0,0,0,0,0
Guadalajara,2009,13507,-228,7167,99,3769,-165,1368,-91,566,-41,367,-17,173,-19,53,10,28,-1,14,-2,2,-1,0,0,0,0
Guadalajara,2008,13735,861,7068,564,3934,206,1459,22,607,28,384,27,192,10,43,-7,29,10,16,1,3,0,0,0,0,0
Guadalajara,2007,12874,1049,6504,439,3728,426,1437,138,579,-16,357,50,182,4,50,7,19,0,15,-1,3,2,0,0,0,0
Guadalajara,2006,11825,1387,6065,817,3302,256,1299,161,595,91,307,38,178,18,43,5,19,-2,16,3,1,0,0,0,0,0
Guadalajara,2005,10438,318,5248,93,3046,81,1138,77,504,28,269,14,160,14,38,6,21,3,13,2,1,0,0,0,0,0
Guadalajara,2004,10120,698,5155,217,2965,293,1061,94,476,65,255,11,146,13,32,4,18,1,11,1,1,0,0,-1,0,0
Guadalajara,2003,9422,392,4938,83,2672,180,967,66,411,30,244,32,133,2,28,-5,17,3,10,1,1,0,1,0,0,0
Guadalajara,2002,9030,313,4855,81,2492,139,901,33,381,31,212,3,131,15,33,5,14,5,9,1,1,0,1,0,0,0
Guadalajara,2001,8717,-76,4774,-186,2353,17,868,31,350,69,209,-5,116,-4,28,0,9,0,8,2,1,0,1,0,0,0
Guadalajara,2000,8793,275,4960,103,2336,102,837,36,281,-4,214,33,120,0,28,4,9,1,6,0,1,0,1,0,0,0
Guadalajara,1999,8518,NULL,4857,NULL,2234,NULL,801,NULL,285,NULL,181,NULL,120,NULL,24,NULL,8,NULL,6,NULL,1,NULL,1,NULL,0,NULL
Huelva,2012,25008,-804,13144,-366,7381,82,2552,-225,976,-135,556,-101,269,-53,78,-3,29,1,19,-3,3,-1,1,0,0,0
Huelva,2011,25812,-465,13510,87,7299,-329,2777,-83,1111,-68,657,-33,322,-19,81,-16,28,-5,22,0,4,1,1,0,0,0
Huelva,2010,26277,-506,13423,34,7628,-175,2860,-61,1179,-110,690,-111,341,-67,97,-13,33,-7,22,3,3,1,1,0,0,0
Huelva,2009,26783,-680,13389,-10,7803,-137,2921,-188,1289,-82,801,-134,408,-111,110,3,40,-11,19,-9,2,-2,1,1,0,0
Huelva,2008,27463,400,13399,-88,7940,220,3109,138,1371,31,935,30,519,61,107,13,51,-4,28,-2,4,1,0,0,0,0
Huelva,2007,27063,1576,13487,692,7720,553,2971,166,1340,46,905,97,458,11,94,0,55,8,30,3,3,0,0,0,0,0
Huelva,2006,25487,710,12795,26,7167,312,2805,172,1294,116,808,48,447,31,94,-2,47,11,27,-4,3,0,0,0,0,0
Huelva,2005,24777,507,12769,-42,6855,273,2633,141,1178,47,760,26,416,48,96,4,36,0,31,10,3,0,0,0,0,0
Huelva,2004,24270,1723,12811,868,6582,474,2492,192,1131,147,734,30,368,17,92,-11,36,5,21,0,3,1,0,0,0,0
Huelva,2003,22547,838,11943,183,6108,452,2300,77,984,45,704,55,351,7,103,18,31,-4,21,5,2,0,0,0,0,0
Huelva,2002,21709,641,11760,65,5656,345,2223,187,939,-4,649,38,344,1,85,5,35,10,16,-6,2,0,0,0,0,0
Huelva,2001,21068,196,11695,-314,5311,220,2036,109,943,132,611,29,343,2,80,17,25,-7,22,8,2,0,0,0,0,0
Huelva,2000,20872,607,12009,108,5091,249,1927,112,811,53,582,39,341,34,63,3,32,9,14,1,2,-1,0,0,0,0
Huelva,1999,20265,NULL,11901,NULL,4842,NULL,1815,NULL,758,NULL,543,NULL,307,NULL,60,NULL,23,NULL,13,NULL,3,NULL,0,NULL,0,NULL
Huesca,2012,16151,-229,8228,-33,4785,124,1689,-204,681,-73,475,-14,213,-28,60,0,14,0,5,-1,1,0,0,0,0,0
Huesca,2011,16380,-170,8261,76,4661,-164,1893,-15,754,-27,489,-20,241,-15,60,-4,14,2,6,-3,1,0,0,0,0,0
Huesca,2010,16550,-287,8185,-267,4825,116,1908,-5,781,-74,509,-35,256,-15,64,-4,12,-3,9,0,1,0,0,0,0,0
Huesca,2009,16837,-272,8452,186,4709,-346,1913,15,855,-46,544,-33,271,-42,68,2,15,-6,9,-2,1,0,0,0,0,0
Huesca,2008,17109,415,8266,180,5055,99,1898,52,901,49,577,8,313,19,66,14,21,0,11,-4,1,-2,0,0,0,0
Huesca,2007,16694,669,8086,381,4956,195,1846,33,852,35,569,-3,294,21,52,2,21,-5,15,10,3,2,0,-2,0,0
Huesca,2006,16025,635,7705,284,4761,87,1813,124,817,70,572,42,273,20,50,9,26,2,5,-3,1,-1,2,1,0,0
Huesca,2005,15390,312,7421,68,4674,128,1689,55,747,23,530,26,253,15,41,-4,24,2,8,0,2,-1,1,0,0,0
Huesca,2004,15078,795,7353,303,4546,295,1634,81,724,38,504,37,238,28,45,11,22,1,8,1,3,0,1,0,0,0
Huesca,2003,14283,394,7050,105,4251,175,1553,77,686,1,467,24,210,11,34,-7,21,6,7,0,3,1,1,1,0,0
Huesca,2002,13889,314,6945,61,4076,86,1476,82,685,50,443,18,199,18,41,-3,15,1,7,0,2,1,0,0,0,0
Huesca,2001,13575,-90,6884,-318,3990,177,1394,13,635,43,425,-7,181,-5,44,4,14,3,7,0,1,0,0,0,0,0
Huesca,2000,13665,291,7202,118,3813,26,1381,71,592,10,432,55,186,-1,40,14,11,-2,7,0,1,0,0,0,0,0
Huesca,1999,13374,NULL,7084,NULL,3787,NULL,1310,NULL,582,NULL,377,NULL,187,NULL,26,NULL,13,NULL,7,NULL,1,NULL,0,NULL,0,NULL
Jaén,2012,34000,-945,17559,-570,10210,98,3495,-277,1388,-93,843,-49,380,-48,72,-10,33,7,12,-4,4,1,4,0,0,0
